Zone,Borough,latitude,longitude,heat_property_val
Allerton/Pelham Gardens,Bronx,-73.85419542281616,40.86379181171661,5
LaGuardia Airport/East Elmhurst,Queens,-73.87209440351441,40.77482389784106,38
Sunset Park East,Brooklyn,-73.99933095957388,40.640612074834124,9
Laurelton/Montefiore Cemetery,Queens,-73.74290134563287,40.68107268658592,8
East Williamsburg,Brooklyn,-73.93512570600026,40.713531844483825,3
Meatpacking/West Village West,Manhattan,-74.00791264867112,40.73534643458651,7
Seaport/Financial District/Battery Park City,Manhattan,-74.0016447004499,40.69489080698312,10
Sheepshead Bay,Brooklyn,-73.93715580502682,40.58706737221091,4
Bayside,Queens,-73.7645976770893,40.76169638796015,3
Hillcrest/Pomonok,Queens,-73.8031744900834,40.727746615004946,5
Windsor Terrace,Brooklyn,-73.98214716476525,40.657746462676435,1
Corona/Fresh Meadows,Queens,-73.85791170157171,40.743841318800754,3
Soundview/Bruckner/Clason Point/Soundview Park,Bronx,-73.86382252935368,40.81488079940826,1
Kew Gardens Hills,Queens,-73.82048494967152,40.72619110471072,2
Eastchester,Bronx,-73.82700868248816,40.88297621901508,10
Coney Island,Brooklyn,-73.98530675703724,40.57667456740513,10
Crotona Park East,Bronx,-73.8884202701517,40.831559877522196,2
DUMBO/Vinegar Hill,Brooklyn,-73.98610052266547,40.69469776397623,2
Williamsburg (South Side),Brooklyn,-73.95799521274463,40.7146299981626,4
SoHo,Manhattan,-74.00403580980367,40.72432088318132,11
Westchester Village/Unionport,Bronx,-73.84510874946697,40.83830457244178,2
Homecrest,Brooklyn,-73.9676334492317,40.598166429467106,5
Woodlawn/Wakefield,Bronx,-73.86432705402038,40.89411328835895,6
Newark Airport,EWR,-74.18003,40.68883,2
Douglaston/Little Neck/Alley Pond Park,Queens,-73.86502856810401,40.72532705305162,2
Midwood,Brooklyn,-73.95504541531628,40.62065560088014,5
Gowanus,Brooklyn,-74.00583529237828,40.676194328995926,7
Parkchester,Bronx,-73.85807803414131,40.83776753895098,2
Manhattan Beach,Brooklyn,-73.93715580502682,40.58706737221091,1
Glen Oaks,Queens,-73.71385743097503,40.74708622365839,3
Highbridge Park,Manhattan,-73.93063285679249,40.84626168181519,1
Pelham Bay,Bronx,-73.78892702278499,40.834969249385814,3
Soundview/Castle Hill/Unionpoint,Bronx,-73.83879684839995,40.82310645847335,11
Glendale/Highland Park,Queens,-73.87733361783725,40.702341637055014,4
Bay Ridge,Brooklyn,-74.02891183310439,40.62732094164297,4
Kensington,Brooklyn,-73.97776520357893,40.64159452838619,1
Mariners Harbor,Staten Island,-74.15960821981288,40.642993852726796,1
Jamaica Estates,Queens,-73.77541797121756,40.72120775703328,2
Marble Hill,Manhattan,-73.90569168627182,40.881304826579324,1
Charleston/Tottenville,Staten Island,-74.23391132750132,40.5292081842251,1
South Jamaica,Queens,-73.79123022367365,40.6940414066197,5
South Ozone Park,Queens,-73.82103490333975,40.67664564102542,7
Auburndale,Queens,-73.78725958398438,40.75453175905223,3
Williamsburg/Williamsburg (North),Brooklyn,-73.95799521274463,40.7146299981626,4
Queensboro Hill,Queens,-73.81622923828543,40.74236110097999,1
Hammels/Arverne,Queens,-73.79683152638438,40.59242567050431,4
Carroll Gardens,Brooklyn,-74.00583529237828,40.676194328995926,1
Kew Gardens,Queens,-73.82994425018259,40.70786168634206,6
Erasmus,Brooklyn,-73.95011183461277,40.648755920254324,1
Middle Village/St. John Cemetery,Queens,-73.87663350839239,40.71414370308744,1
Elmhurst/Maspeth,Queens,-73.88214667116361,40.73973071063485,7
Howard Beach/Spring Creek Park,Queens,-73.85968029553112,40.65377951397798,1
Dyker Heights/Fort Hamilton,Brooklyn,-74.01856834990497,40.614360123636764,2
Schuylerville/Edgewater Park/Ferry Point Park/St. Raymond Cemetery,Bronx,-73.823203699032,40.81937057429918,2
Bay Terrace/Fort Totten,Queens,-73.7812902024022,40.786695401683005,1
Briarwood/Jamaica Hills,Queens,-73.80802254205544,40.71248600388505,1
Borough Park,Brooklyn,-73.99521010775146,40.63657243135266,2
